location,number_of_bedroom,access_to_school,access_to_hospital,access_to_market,total_sqft,SalePrice
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,0,1,85,3478.8
Phường 15 Quận 8,2,1,0,1,73.1,3263.68
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,1,1,57.4,2678.4
Phường Bình Hưng Hòa A Quận Bình Tân,2,0,0,0,71,2700.028
Phường Bình Hưng Hòa A Quận Bình Tân,2,0,1,1,71,2941.2
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,1,1,44.8,3333.12
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,0,1,77.8,3445.68
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,1,1,63.7,3542
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,1,1,63.7,3590.4
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,1,1,77.4,3629
Phường Bình Hưng Hòa A Quận Bình Tân,3,1,0,1,70.2,3989.44
Phường An Lạc Quận Bình Tân,2,1,1,1,63.4,5969.6
Phường 15 Quận Tân Bình,3,1,1,1,101.6,5116.8
Phường 15 Quận Tân Bình,3,0,0,0,103.8,5805.48
Phường 15 Quận Tân Bình,4,1,0,1,167,6883.2
Phường 15 Quận Tân Bình,2,1,0,1,85.3,7148.8
Phường 15 Quận Tân Bình,2,1,0,1,101.6,7498.08
Phường 15 Quận Tân Bình,6,1,1,1,208,14002.08
Phường Phước Long A Quận 9,2,1,0,1,75.6,3640.14
Phường Tây Thạnh Quận Tân Phú,2,1,0,1,80,4048
Phường Tây Thạnh Quận Tân Phú,2,0,0,0,91.2,5347.52
Phường Tây Thạnh Quận Tân Phú,2,1,0,1,63.4,6701.38
Phường Tây Thạnh Quận Tân Phú,6,0,0,0,131,8688
Phường 8 Quận Gò Vấp,2,1,0,1,88.4,4056.36
Phường 8 Quận Gò Vấp,2,1,0,1,88.4,5340.72
Phường 12 Quận Gò Vấp,2,1,0,1,99.9,5046.3
Phường 12 Quận Gò Vấp,2,1,0,1,96,5146.432
Phường 12 Quận Gò Vấp,2,1,0,1,96,5146.432
Phường 12 Quận Gò Vấp,3,1,0,1,102.4,5597.74
Phường 12 Quận Gò Vấp,2,1,0,1,99.6,6519.648
Phường 12 Quận Gò Vấp,2,1,0,1,120,6808.128
Phường Tây Thạnh Quận Tân Phú,2,1,0,1,85.2,6616.4
Phường 9 Quận Gò Vấp,2,1,0,1,97.2,4997.328
Phường 9 Quận Gò Vấp,2,1,0,0,107.2,6948
Phường 9 Quận Gò Vấp,2,1,0,1,138,7495.236
Phường An Lạc A Quận Bình Tân,2,1,0,1,45.4,2466.8
Phường Sơn Kỳ Quận Tân Phú,2,1,0,0,48,3883.2
Phường Sơn Kỳ Quận Tân Phú,2,1,0,1,96,4352
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,0,1,79.6,3216
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,0,1,91.3,3998.4
Phường Tây Thạnh Quận Tân Phú,2,1,0,1,64.4,3923.64
Phường Tây Thạnh Quận Tân Phú,2,1,0,1,73.9,4436
Phường Tây Thạnh Quận Tân Phú,2,1,0,1,76.7,4813.2
Phường Tây Thạnh Quận Tân Phú,2,0,0,0,56.4,5362
Phường Tây Thạnh Quận Tân Phú,2,1,0,1,54.8,5692
Phường Bình Trị Đông Quận Bình Tân,2,1,0,1,65.2,2345.6
Phường Bình Trị Đông Quận Bình Tân,2,0,0,0,75.3,3397.68
Phường Bình Trị Đông A Quận Bình Tân,2,1,0,1,98.2,3730.792
Phường Bình Trị Đông A Quận Bình Tân,3,1,1,1,74.5,3794.64
Phường Bình Trị Đông Quận Bình Tân,2,1,0,1,74.1,3799.984
Phường Bình Trị Đông A Quận Bình Tân,2,1,1,1,38.2,3857.152
Phường Bình Trị Đông A Quận Bình Tân,2,1,1,1,90,4118.4
Phường Bình Trị Đông A Quận Bình Tân,2,1,0,1,96,4364.36
Phường Bình Trị Đông Quận Bình Tân,6,1,1,1,125,4492.08
Phường Bình Trị Đông A Quận Bình Tân,2,1,1,1,76,4531.2
Phường Bình Trị Đông Quận Bình Tân,3,1,1,1,108.8,4554.368
Phường Bình Trị Đông A Quận Bình Tân,5,1,1,1,125.2,4688
Phường Bình Trị Đông Quận Bình Tân,2,1,1,1,144,5200
Phường Bình Trị Đông A Quận Bình Tân,3,1,1,1,159.4,5702.84
Phường Bình Trị Đông A Quận Bình Tân,2,1,1,1,115,6232.904
Phường Bình Trị Đông Quận Bình Tân,3,1,0,1,136.3,9400.32
Phường Bình Trị Đông Quận Bình Tân,3,1,0,1,97.6,9495.6
Phường Bình Hưng Hòa A Quận Bình Tân,2,0,0,0,64.8,2990.4
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,0,1,63.8,3110.4
Phường An Lạc A Quận Bình Tân,2,1,1,1,116.3,5392.8
Phường An Lạc A Quận Bình Tân,2,1,0,1,116,6199.38
Phường Bình Trị Đông Quận Bình Tân,2,1,1,1,50.8,2573.04
Phường Bình Trị Đông Quận Bình Tân,3,1,0,1,44,3000.8
Phường Bình Trị Đông Quận Bình Tân,1,0,0,0,53.7,3329.4
Phường Bình Trị Đông Quận Bình Tân,2,0,1,1,84.6,3459.2
Phường Bình Trị Đông Quận Bình Tân,2,1,1,1,82.2,3561.36
Phường Bình Trị Đông Quận Bình Tân,2,1,1,1,82.9,4098.204
Phường Bình Trị Đông Quận Bình Tân,4,1,0,1,95.4,4276.8
Phường Bình Trị Đông Quận Bình Tân,3,1,1,1,81,4312
Phường Bình Trị Đông Quận Bình Tân,2,1,1,1,69.9,5283.72
Phường Bình Trị Đông Quận Bình Tân,2,1,1,1,66.8,5894.16
Phường Bình Trị Đông Quận Bình Tân,3,1,0,1,119,8156.252
Phường Bình Trị Đông Quận Bình Tân,3,1,0,1,146.1,8983.796
Phường Phước Long A Quận 9,2,1,0,1,90,4398
Phường Phước Long A Quận 9,3,1,0,1,101.2,5399.02
Phường Phước Long A Quận 9,2,1,0,1,117.6,6368
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,0,1,92.6,3875.2
Phường Tây Thạnh Quận Tân Phú,2,1,0,1,60,3000
Phường Tây Thạnh Quận Tân Phú,3,1,0,1,95.4,3349.184
Phường Tây Thạnh Quận Tân Phú,2,1,0,1,76.5,3503.76
Phường Tây Thạnh Quận Tân Phú,2,1,0,1,81.5,4272.8
Phường Tây Thạnh Quận Tân Phú,3,1,0,1,105.8,4897.296
Phường Tây Thạnh Quận Tân Phú,2,1,0,1,112,4998
Phường Tây Thạnh Quận Tân Phú,2,1,0,1,97.5,5274.08
Phường Tây Thạnh Quận Tân Phú,2,1,0,1,128,5646.8
Phường Tây Thạnh Quận Tân Phú,4,1,0,1,116.8,5999.4
Phường Tây Thạnh Quận Tân Phú,2,1,0,1,89.6,6240
Phường Tây Thạnh Quận Tân Phú,2,1,0,1,105,7098
Phường Tây Thạnh Quận Tân Phú,4,1,0,1,137.6,7119.6
Phường Tây Thạnh Quận Tân Phú,3,1,0,1,141,9194.4
Phường Tây Thạnh Quận Tân Phú,4,1,0,1,166.5,10991
Phường 15 Quận Tân Bình,1,0,0,0,64,3398.4
Phường 15 Quận Tân Bình,3,1,0,1,68.3,7486.8
Phường 16 Quận Gò Vấp,2,1,0,1,72,2954.952
Phường 16 Quận Gò Vấp,2,1,0,0,91,3469.752
Phường 16 Quận Gò Vấp,2,1,0,1,72,3536.46
Phường 16 Quận Gò Vấp,2,1,1,1,91,3675.672
Phường 16 Quận Gò Vấp,2,1,0,0,50,4690
Phường 16 Quận Gò Vấp,2,1,0,1,63.3,4834.64
Phường 16 Quận Gò Vấp,2,1,0,1,80,4840
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,0,1,58.8,2746.8
Phường 16 Quận Gò Vấp,2,1,0,1,58.8,2928.76
Phường 16 Quận Gò Vấp,2,0,0,0,49,4225.168
Phường Tân Quý Quận Tân Phú,2,1,0,1,46.7,2724
Phường Tân Quý Quận Tân Phú,3,1,0,1,64,5497.6
Phường Tân Quý Quận Tân Phú,3,1,0,1,129.6,7728.5
Phường 15 Quận Tân Bình,3,1,0,1,99.4,3097.64
Phường 15 Quận Tân Bình,2,1,0,1,76.8,3480.8
Phường 15 Quận Tân Bình,2,0,0,0,76.8,3480.8
Phường 15 Quận Tân Bình,2,1,0,1,89,3597.84
Phường 15 Quận Tân Bình,2,0,0,0,90.2,4700.84
Phường 15 Quận Tân Bình,4,1,0,1,106.2,5014.2
Phường 15 Quận Tân Bình,2,1,0,1,114,5408
Phường 15 Quận Tân Bình,2,1,0,1,117.6,5600.32
Phường 15 Quận Tân Bình,4,1,1,1,123.2,6318.432
Phường 12 Quận Gò Vấp,2,1,0,1,187.8,9800
Phường An Lạc A Quận Bình Tân,3,0,0,0,165.6,9763.32
Phường 15 Quận Tân Bình,3,1,0,1,108.1,4957.92
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,1,1,57.8,2683.824
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,0,1,72.8,3301.48
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,1,1,69.2,3506.4
Phường Bình Hưng Hòa A Quận Bình Tân,4,1,1,1,103.5,4747.6
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,1,1,115.4,6582.4
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,1,1,120,6636
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,0,1,88.6,3476
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,1,1,70.6,3672
Phường Bình Hưng Hòa A Quận Bình Tân,3,1,0,1,70.4,3866.4
Phường An Lạc A Quận Bình Tân,2,1,1,1,59.6,3951.48
Phường 11 Quận Gò Vấp,2,0,0,0,66.4,12764.856
Phường An Lạc Quận Bình Tân,2,1,1,1,91.8,4475
Phường An Lạc Quận Bình Tân,3,1,0,1,132.8,4651.2
Phường An Lạc Quận Bình Tân,2,1,0,1,44.4,5162.66
Phường Tân Quý Quận Tân Phú,2,1,0,1,78.2,3249.72
Phường Tân Quý Quận Tân Phú,2,1,0,1,100,5299.14
Phường Tân Quý Quận Tân Phú,2,1,0,1,158.2,5545.8
Phường Tân Quý Quận Tân Phú,3,1,0,1,119.3,9563.7
Phường 15 Quận Gò Vấp,3,1,0,1,141.2,4627.072
Phường An Lạc Quận Bình Tân,2,1,1,1,83.6,5605.6
Phường 8 Quận Gò Vấp,2,1,0,1,73,3580.64
Phường Bình Hưng Hòa A Quận Bình Tân,1,1,0,1,63.8,2839.36
Phường Bình Hưng Hòa A Quận Bình Tân,5,1,1,1,155.2,5776
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,0,1,32.7,7677.96
Phường 15 Quận Tân Bình,2,1,0,1,93.2,3912
Phường An Phú Đông Quận 12,2,0,0,1,61.4,2943.728
Phường An Phú Đông Quận 12,3,1,0,1,92,3000.4
Phường An Phú Đông Quận 12,4,0,0,1,111.8,3403.008
Phường 9 Quận Gò Vấp,2,1,0,1,85,6179.04
Phường 9 Quận Gò Vấp,2,1,0,1,128,7720
Phường 8 Quận Gò Vấp,2,1,0,1,87,3974.4
Phường 8 Quận Gò Vấp,2,1,0,1,83.5,4186.92
Phường 8 Quận Gò Vấp,2,1,0,1,87,4248
Phường 8 Quận Gò Vấp,4,1,0,1,123.2,4952.64
Phường 8 Quận Gò Vấp,3,1,0,1,123.2,5100.48
Phường 8 Quận Gò Vấp,3,1,0,1,101.9,7613.88
Phường Tân Sơn Nhì Quận Tân Phú,2,1,0,1,72.6,3283.28
Phường Bình Hưng Hòa Quận Bình Tân,2,1,0,1,73.4,3417.504
Phường Tân Sơn Nhì Quận Tân Phú,2,1,0,1,56.4,3677.4
Phường Bình Hưng Hòa Quận Bình Tân,2,1,0,1,87,3707.4
Phường Tân Sơn Nhì Quận Tân Phú,2,1,0,1,101.7,4327.52
Phường Tân Sơn Nhì Quận Tân Phú,2,1,0,1,103,4760.196
Phường Tân Sơn Nhì Quận Tân Phú,2,1,0,1,95.6,5792.72
Phường 15 Quận Tân Bình,2,1,1,1,93.7,4037.44
Phường 15 Quận Tân Bình,2,1,1,1,85.8,4728
Phường 15 Quận Tân Bình,2,1,1,1,85.8,4963.2
Phường 15 Quận Tân Bình,1,1,0,1,99.4,9152
Phường 15 Quận Tân Bình,2,1,0,1,110,4631.2
Phường Bình Trị Đông B Quận Bình Tân,2,1,1,1,94.4,3868.56
Phường Bình Trị Đông B Quận Bình Tân,2,1,1,1,107.4,4485.6
Phường Bình Trị Đông B Quận Bình Tân,2,1,1,1,127.4,5824.84
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,0,1,53.4,2979.18
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,1,1,89.6,3456
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,0,1,105.9,3899.024
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,0,1,53.9,2253.6
Phường 15 Quận Tân Bình,1,1,0,1,76.4,4030.4
Phường 15 Quận Tân Bình,2,1,0,1,98,4896
Phường 15 Quận Tân Bình,3,1,0,1,77,6084
Phường 15 Quận Tân Bình,4,1,1,1,120.8,7598
Phường 10 Quận 6,3,0,0,1,119.6,6502.4
Phường Tân Quý Quận Tân Phú,2,1,0,1,67.5,4708.56
Phường Tân Quý Quận Tân Phú,3,1,0,1,106.2,7504.992
Phường 10 Quận 6,3,1,0,1,104.8,6500
Phường 16 Quận Gò Vấp,2,1,1,1,75.4,3301.2
Phường 16 Quận Gò Vấp,2,1,0,0,66.4,3451.12
Phường 16 Quận Gò Vấp,3,1,0,0,61.2,3461.336
Phường 16 Quận Gò Vấp,2,1,0,1,91.1,4165.2
Phường 13 Quận Gò Vấp,2,1,0,1,89.8,5181
Phường 16 Quận Gò Vấp,3,1,0,1,177.8,5400
Phường 13 Quận Gò Vấp,2,1,0,0,122,5663.58
Phường 13 Quận Gò Vấp,4,1,0,1,151.8,7551.264
Phường Bình Hưng Hòa A Quận Bình Tân,3,1,0,1,123.3,5512
Phường Bình Hưng Hòa A Quận Bình Tân,3,1,1,1,102.5,5800.704
Phường 15 Quận Tân Bình,1,1,0,1,89.6,3273.6
Phường 15 Quận Tân Bình,2,1,0,1,103.8,3556.8
Phường 15 Quận Tân Bình,2,1,1,1,81.9,5995.2
Phường 15 Quận Tân Bình,2,1,0,1,70.2,6214.26
Phường Bình Trị Đông Quận Bình Tân,1,1,0,1,41.6,1972
Phường Bình Trị Đông Quận Bình Tân,2,1,0,1,82.4,2647.648
Phường Bình Trị Đông Quận Bình Tân,2,1,1,1,59.2,2745.36
Phường Bình Trị Đông Quận Bình Tân,2,1,1,1,78.5,3535
Phường Bình Trị Đông Quận Bình Tân,2,0,0,0,85.1,3597.88
Phường Bình Trị Đông Quận Bình Tân,2,1,1,1,108.1,4649.28
Phường 10 Quận 6,2,1,0,1,90.6,6420
Phường 15 Quận Tân Bình,2,1,0,1,66.3,2291.2
Phường 15 Quận Tân Bình,1,1,0,1,62,3575.88
Phường 15 Quận Tân Bình,3,1,0,1,102.4,4123.8
Phường 15 Quận Tân Bình,2,1,0,1,82.9,4303.2
Phường 15 Quận Tân Bình,2,0,0,0,107.7,5566.4
Phường 15 Quận Tân Bình,3,1,0,1,126.2,5981.296
Phường 15 Quận Tân Bình,3,1,0,1,105.6,6796.8
Phường Bình Trị Đông B Quận Bình Tân,2,1,0,1,96.4,6319.52
Phường 10 Quận Gò Vấp,1,0,0,0,36.7,2542.848
Phường 10 Quận Gò Vấp,2,0,0,0,64,2971.68
Phường 10 Quận Gò Vấp,2,1,0,1,55.5,3052.728
Phường 10 Quận Gò Vấp,3,1,0,1,52.8,3622.08
Phường 10 Quận Gò Vấp,2,1,1,0,76.8,3866.24
Phường 10 Quận Gò Vấp,2,0,1,1,77.9,3936.4
Phường 10 Quận Gò Vấp,2,1,0,1,79.7,4327.44
Phường 10 Quận Gò Vấp,2,1,0,1,79.7,4327.44
Phường 10 Quận Gò Vấp,2,0,0,0,68,4447.8
Phường 10 Quận Gò Vấp,2,1,0,1,68,4596.928
Phường 10 Quận Gò Vấp,2,0,0,0,96,4877.6
Phường 10 Quận Gò Vấp,2,0,0,0,90.6,5134.56
Phường 10 Quận Gò Vấp,2,0,0,0,57,8263.6
Phường 15 Quận Tân Bình,2,1,1,1,86.5,5210.2
Phường Hiệp Bình Phước Thành phố Thủ Đức,2,1,0,1,49,3219.3
Phường Hiệp Bình Phước Thành phố Thủ Đức,3,1,1,1,113.2,3291.48
Phường Hiệp Bình Phước Thành phố Thủ Đức,6,1,1,1,120.6,3329.664
Phường Hiệp Bình Phước Thành phố Thủ Đức,2,1,0,1,80.4,3349.16
Phường Hiệp Bình Phước Thành phố Thủ Đức,2,1,0,1,119.6,3530.128
Phường Hiệp Bình Phước Thành phố Thủ Đức,4,1,0,1,65.5,3785.9
Phường Hiệp Bình Phước Thành phố Thủ Đức,2,1,1,1,104,3908.16
Phường Hiệp Bình Phước Thành phố Thủ Đức,2,1,0,1,104,3988.4
Phường Hiệp Bình Phước Thành phố Thủ Đức,2,1,0,1,97.2,4100.832
Phường Hiệp Bình Phước Thành phố Thủ Đức,2,1,1,1,92.8,4201.6
Phường Hiệp Bình Phước Thành phố Thủ Đức,2,1,0,1,107.5,5142.384
Phường Hiệp Bình Phước Thành phố Thủ Đức,3,1,1,1,112.5,6216.264
Phường 8 Quận Gò Vấp,5,1,0,1,118,5993.712
Phường Bình Trị Đông Quận Bình Tân,2,1,1,1,58.5,3484
Phường Bình Trị Đông Quận Bình Tân,2,1,1,1,87,4001.48
Phường 16 Quận Gò Vấp,3,1,0,1,62.9,3865.828
Phường 10 Quận 6,3,1,0,1,163.8,11003.58
Phường 10 Quận 6,2,1,0,1,72.8,4600
Phường 10 Quận 6,2,1,0,1,72.8,5200
Phường Tân Quý Quận Tân Phú,1,0,0,0,70.8,3189.54
Phường Tân Quý Quận Tân Phú,2,1,0,1,81.9,4315.968
Phường Tân Quý Quận Tân Phú,2,1,0,0,93,4499.36
Phường Tân Quý Quận Tân Phú,2,1,0,1,48,4713.6
Phường Tân Quý Quận Tân Phú,2,1,0,1,93,4899.52
Phường Tân Quý Quận Tân Phú,2,1,0,1,98,5198.5
Phường Tân Quý Quận Tân Phú,3,1,0,1,46.4,5999.52
Phường Tân Quý Quận Tân Phú,2,1,0,1,120,7499.2
Phường Tân Quý Quận Tân Phú,3,1,0,1,220,7999.2
Phường 10 Quận 6,2,0,0,0,81.6,5400
Phường 10 Quận 6,2,1,0,1,89.6,5600
Phường 10 Quận 6,2,1,0,1,89.6,5600
Phường 10 Quận 6,2,1,1,1,120.8,12103.44
Phường 11 Quận Gò Vấp,3,1,1,1,58.5,2703
Phường 11 Quận Gò Vấp,2,1,0,1,67.6,3412.352
Phường 11 Quận Gò Vấp,2,1,0,0,68.8,3498.48
Phường 11 Quận Gò Vấp,2,1,0,1,67.6,3571.776
Phường 11 Quận Gò Vấp,3,1,1,1,106.8,3988.544
Phường Tân Quý Quận Tân Phú,3,1,0,1,164.8,7266.12
Phường 16 Quận Gò Vấp,2,1,0,1,96,4938
Phường Tân Quý Quận Tân Phú,2,1,0,1,56,3648
Phường 15 Quận 8,3,0,0,1,44.4,5381.28
Phường 16 Quận Gò Vấp,2,1,1,1,56.8,2650.608
Phường 16 Quận Gò Vấp,2,1,0,1,55.3,2851.04
Phường 16 Quận Gò Vấp,2,1,1,0,65.5,3956.436
Phường Phú Thọ Hòa Quận Tân Phú,2,1,0,1,111,5239.44
Phường Phú Thọ Hòa Quận Tân Phú,3,1,1,1,126.4,7340.8
Phường An Lạc A Quận Bình Tân,4,1,0,1,156.4,7698
Phường An Lạc A Quận Bình Tân,2,1,1,1,53.5,3434.4
Phường An Lạc A Quận Bình Tân,4,1,1,1,121.2,5798.4
Phường Bình Trị Đông Quận Bình Tân,2,1,1,1,32.6,3188.28
Phường Bình Trị Đông Quận Bình Tân,2,1,1,1,76.2,3767.48
Phường Bình Trị Đông Quận Bình Tân,2,1,1,1,66.6,4026.28
Phường 11 Quận Gò Vấp,3,1,0,1,128.9,4878.684
Phường 11 Quận Gò Vấp,2,1,0,1,168,5896.8
Phường An Lạc A Quận Bình Tân,2,1,1,1,100.4,6499.2
Phường Bình Trị Đông Quận Bình Tân,2,1,1,1,84.4,4162.64
Phường 10 Quận 6,3,0,0,1,164.8,15001
Phường 17 Quận Gò Vấp,2,1,0,1,78.9,3780.624
Phường 17 Quận Gò Vấp,1,1,0,1,95.7,4715
Phường Tân Quý Quận Tân Phú,2,1,0,1,98.6,5300.48
Phường 15 Quận Gò Vấp,2,1,0,1,108.8,4120.644
Phường 15 Quận Gò Vấp,3,1,0,1,141.4,6162.16
Phường Phú Thạnh Quận Tân Phú,2,1,0,1,92,3981.6
Phường Phú Thạnh Quận Tân Phú,1,1,0,1,102,4597.6
Phường 10 Quận 6,2,1,0,1,153.6,11499.6
Phường Bình Trị Đông Quận Bình Tân,2,1,1,1,96.6,3546.76
Phường Bình Trị Đông Quận Bình Tân,2,1,0,1,101.6,4174.236
Phường Bình Trị Đông Quận Bình Tân,3,1,1,1,78.8,4998.48
Phường Bình Trị Đông Quận Bình Tân,2,1,1,1,73,5378.96
Phường 11 Quận Gò Vấp,2,1,0,1,62.4,3444.32
Phường 11 Quận Gò Vấp,2,1,1,1,72,3700.8
Phường 11 Quận Gò Vấp,2,1,0,1,76.8,3709.592
Phường 11 Quận Gò Vấp,3,1,0,1,56,3978.8
Phường 14 Quận Gò Vấp,2,1,0,1,81.4,4293.12
Phường 14 Quận Gò Vấp,2,1,0,1,93.2,4811.4
Phường 11 Quận Gò Vấp,2,0,0,0,83.6,5462.4
Phường 10 Quận 6,4,1,0,1,179.6,11897.18
Phường Tân Quý Quận Tân Phú,2,1,0,1,72,3848
Phường Hiệp Tân Quận Tân Phú,2,1,0,1,71.6,3750.86
Phường Hiệp Tân Quận Tân Phú,2,1,0,1,71.6,4201.32
Phường Hiệp Tân Quận Tân Phú,3,1,0,1,83.4,17430.6
Phường 13 Quận 6,2,1,0,1,85.6,8297.76
Phường 13 Quận 6,2,1,1,1,85.6,8415.8
Phường 13 Quận 6,1,1,0,1,85.6,9299.82
Phường Bình Trưng Đông Quận 2,3,1,0,1,101.6,4805.22
Phường 16 Quận 8,5,1,0,1,82.4,3964.536
Phường Phú Thạnh Quận Tân Phú,2,1,0,1,80,3600
Phường Phú Thạnh Quận Tân Phú,3,1,0,1,116.8,8512.24
Phường Tân Quý Quận Tân Phú,1,0,0,0,128,5248
Phường Bình Trị Đông Quận Bình Tân,2,1,0,1,56,2749.6
Phường Bình Trị Đông Quận Bình Tân,2,1,1,1,96,3603.6
Phường Phú Thạnh Quận Tân Phú,4,1,0,1,111.8,6798.52
Phường Phú Thạnh Quận Tân Phú,2,1,0,1,61.6,3400
Phường Phú Thạnh Quận Tân Phú,3,1,0,1,180.8,8602.56
Phường Phú Thạnh Quận Tân Phú,5,1,0,1,125.5,7430.16
Phường Tân Quý Quận Tân Phú,2,0,0,0,62.7,3442.88
Phường Tân Quý Quận Tân Phú,2,1,0,1,48.2,3599.7
Phường Tân Quý Quận Tân Phú,2,1,0,1,59.8,4298.4
Phường Tân Quý Quận Tân Phú,2,0,0,0,96,4848
Phường Tân Quý Quận Tân Phú,2,1,0,1,102,4936.8
Phường Tân Quý Quận Tân Phú,2,1,0,1,104.5,5956.2
Phường Tân Quý Quận Tân Phú,2,1,0,1,110,7500.8
Phường Phú Mỹ Quận 7,2,1,0,1,120,3333
Phường 10 Quận 6,2,0,0,0,90,5087.6
Phường Tân Quý Quận Tân Phú,2,1,0,1,68.8,4400.4
Phường 10 Quận 6,5,1,1,1,84.5,5053.04
Phường 13 Quận 6,3,1,1,1,115.6,8499.2
Phường 13 Quận 6,3,1,1,1,145.7,6007.968
Phường 13 Quận 6,2,0,0,0,125.2,7770.24
Phường Tân Thới Hòa Quận Tân Phú,3,1,0,1,127.4,5451.6
Phường 13 Quận 6,4,0,0,1,117,9794.596
Phường 11 Quận Gò Vấp,2,1,0,1,48.7,2946.624
Phường 11 Quận Gò Vấp,2,1,0,1,112.8,5370.144
Phường 11 Quận Gò Vấp,2,1,0,1,73.7,5528.096
Phường Phú Thọ Hòa Quận Tân Phú,2,0,1,1,92,4448.2
Phường Phú Thọ Hòa Quận Tân Phú,2,1,0,1,80,4500
Phường Phú Thọ Hòa Quận Tân Phú,2,1,0,1,88,4598
Phường Phú Thọ Hòa Quận Tân Phú,3,1,1,1,133,6862.8
Phường Phú Thọ Hòa Quận Tân Phú,4,1,0,1,125.6,7208
Phường Phú Thọ Hòa Quận Tân Phú,3,1,0,1,114.6,7333.04
Phường Phú Thọ Hòa Quận Tân Phú,3,1,0,1,128.8,8600.36
Phường Phú Thọ Hòa Quận Tân Phú,4,1,0,1,189.6,8661.6
Phường 11 Quận 6,2,0,0,0,168,16496
Phường Phú Thọ Hòa Quận Tân Phú,2,0,0,0,60.8,2950.76
Phường Phú Thọ Hòa Quận Tân Phú,2,1,0,1,62.2,3248.96
Phường Phú Thọ Hòa Quận Tân Phú,2,1,0,1,69.6,3698.64
Phường Phú Thọ Hòa Quận Tân Phú,2,0,0,0,76,4298.8
Phường Phú Thọ Hòa Quận Tân Phú,2,1,0,1,71.6,4401.6
Phường Phú Thọ Hòa Quận Tân Phú,2,1,0,1,112,4747.6
Phường Phú Thọ Hòa Quận Tân Phú,2,0,0,0,92,4821.12
Phường Phú Thọ Hòa Quận Tân Phú,2,0,0,0,117.7,5288.088
Phường Phú Thọ Hòa Quận Tân Phú,3,1,0,1,151.2,5399.64
Phường Phú Thọ Hòa Quận Tân Phú,2,1,0,1,110.2,7706.28
Phường Phú Mỹ Quận 7,3,1,0,1,68.2,4388.8
Phường Phú Mỹ Quận 7,4,1,0,1,139,5476.8
Phường Tân Sơn Nhì Quận Tân Phú,2,1,0,1,133.6,11696
Phường 15 Quận 8,4,0,0,1,72.2,2974.64
Phường Hiệp Tân Quận Tân Phú,2,1,0,1,127.5,7359.968
Phường 11 Quận Gò Vấp,2,0,0,0,128.9,4722.36
Phường 9 Quận Gò Vấp,2,1,0,1,68.6,5837.8
Phường 8 Quận Gò Vấp,2,1,0,1,66.8,6379.548
Phường 10 Quận Gò Vấp,2,1,1,1,81.9,3849.82
Phường Tân Thới Hòa Quận Tân Phú,4,1,0,1,100.7,5775.92
Phường Tân Thới Hòa Quận Tân Phú,5,1,0,1,144.8,24001.6
Phường 17 Quận Gò Vấp,6,1,1,1,69.6,7050.48
Phường Hiệp Tân Quận Tân Phú,3,1,0,1,118.8,6498.36
Phường 13 Quận 6,2,0,0,0,40.1,2635.056
Phường 12 Quận 6,1,0,0,0,50.4,3099.6
Phường 12 Quận 6,4,0,0,0,58,12180
Phường Hiệp Tân Quận Tân Phú,2,1,0,1,85.9,4946.8
Phường Hiệp Tân Quận Tân Phú,3,1,0,1,91.2,6073.92
Phường 11 Quận 6,1,1,0,1,266.7,16002
Phường 17 Quận Gò Vấp,2,1,1,1,58.3,5683.2
Phường Tân Sơn Nhì Quận Tân Phú,2,1,0,0,48.8,3501.42
Phường Tân Sơn Nhì Quận Tân Phú,2,1,0,1,91.2,7797.48
Phường Tân Sơn Nhì Quận Tân Phú,2,1,0,1,40,3000
Phường Tân Sơn Nhì Quận Tân Phú,2,1,0,1,44,7800
Phường 10 Quận Gò Vấp,2,0,0,0,72.2,5005.044
Phường Tân Thành Quận Tân Phú,2,1,0,1,72.5,4611.744
Phường Tân Thành Quận Tân Phú,2,0,0,0,116.8,4801.8
Phường Tân Thành Quận Tân Phú,2,1,0,1,97.6,7498.4
Phường Tân Thành Quận Tân Phú,1,1,1,1,99,10346.38
Phường Tân Thành Quận Tân Phú,4,1,0,1,182.9,10908
