number_of_bedroom,access_to_school,access_to_hospital,access_to_market,total_sqft,loc_lat,loc_long
4,0,0,0,167.2,10.7631632,106.7655988
6,1,0,1,316.8,10.7480982,106.635376
12,1,1,1,551,10.7901321,106.6878585
7,1,0,1,190,10.7568317,106.7005952
6,0,1,1,136,10.7918939,106.6722005
5,0,0,0,171,10.8015277,106.6894466
12,1,1,1,466.9,10.7893937,106.6750618
4,1,1,1,172.3,10.7595027,106.6840512
7,0,0,0,143.5,10.7461861,106.6838342
8,0,0,1,423.8,10.8123441,106.6930962
8,0,0,0,177.8,10.7816101,106.6802073
4,0,0,0,207,10.7676866,106.6802936
10,0,0,1,331.9,10.834556,106.6644038
9,0,0,0,392.4,10.7732105,106.6819136
8,0,0,0,196,10.7701119,106.6820703
4,0,0,1,121.6,10.7669004,106.6909019
4,0,0,0,114.9,10.7999062,106.693992
10,1,0,1,476.3,10.7427341,106.6393392
17,1,0,1,582.3,10.7802119,106.6357701
9,0,0,0,313.5,10.8055563,106.6950205
4,0,0,1,414,10.7719416,106.6697907
4,0,0,0,268,10.7693016,106.6755728
5,1,0,1,244.2,10.8292714,106.6415899
3,0,0,0,55.2,10.7552957,106.6765197
6,0,0,0,356.1,10.7422507,106.634188
4,1,0,1,100,10.7816101,106.6802073
5,1,0,1,238.9,10.8434481,106.6571162
4,1,0,1,289.5,10.7747772,106.6327852
3,0,0,0,234,10.7751759,106.6483593
8,1,1,1,265,10.7600348,106.6521343
6,0,0,1,350.8,10.8067604,106.6877205
18,1,1,1,438,10.7654593,106.6965888
8,1,0,1,304,10.799407,106.8125816
4,1,1,1,220,10.7590165,106.5890926
10,1,0,1,358.7,10.8373485,106.6362851
15,1,0,0,500,10.8019648,106.6214131
10,1,1,1,336,10.7639014,106.6182036
13,0,0,0,373.3,10.734349,106.6269348
11,1,0,1,386.8,10.734349,106.6269348
6,1,0,1,317,10.8443745,106.6732968
8,1,0,1,488.4,10.7360325,106.6338508
8,0,0,0,362.3,10.835689,106.6812423
18,0,0,1,326.4,10.8308859,106.6874859
10,1,0,1,299.3,10.7543229,106.6429214
8,1,1,1,218.4,10.796826,106.649493
9,0,0,1,211.7,10.8251078,106.7040422
13,1,0,1,365.4,10.7896836,106.6500711
4,1,0,1,399.5,10.7837309,106.6544324
15,1,1,1,384,10.7431383,106.7260136
5,1,0,1,346.4,10.7535493,106.6672254
11,0,0,0,224.2,10.7516781,106.6697965
6,1,0,1,268.5,10.7514267,106.674553
6,1,1,1,213,10.7881286,106.6737358
8,1,0,1,318.8,10.8006813,106.6965283
8,0,0,0,318.8,10.8006813,106.6965283
8,0,0,0,318.8,10.8006813,106.6965283
16,0,0,1,285.2,10.7999062,106.693992
10,0,0,0,181.7,10.7697702,106.6710433
9,1,1,1,287.3,10.7697702,106.6710433
5,0,0,0,293.8,10.7706162,106.6711805
5,1,1,1,293.8,10.7706162,106.6711805
4,1,0,1,149.3,10.7714939,106.677566
8,0,0,0,406.6,10.7884755,106.698318
9,0,0,0,101.7,10.758804,106.6871588
8,0,0,0,261.5,10.7587531,106.6924052
5,1,1,1,220,10.7742545,106.6860921
16,1,0,1,206.4,10.7654424,106.7012686
12,1,0,1,272.5,10.8790268,106.6376653
