SalePrice,location_street,location_ward,location_district,number_of_toilet,access_to_school,access_to_hospital,access_to_market,number_of_floor,is_having_basement,is_having_attic_floor,is_having_rooftop,alley_width,number_of_bedroom,loc_lat,loc_long,total_sqft
29306.664,Đường Hoàng Sa,Phường 8 Quận 3,Quận 3,16,0,0,0,6,0,0,0,12,16,10.7867852,106.6736726,411.5
46975.2,Đường Nguyễn Thị Minh Khai,Phường Đa Kao Quận 1,Quận 1,18,1,0,1,6,0,0,1,7,18,10.7884755,106.698318,539.7
9457.236,Đường Lê Đức Thọ,Phường 16 Quận Gò Vấp,Quận Gò Vấp,15,1,0,1,6,0,0,0,3.2,15,10.8474826,106.6689658,384
47942.42258,Đường Nguyễn Khoái,Phường 1 Quận 4,Quận 4,6,1,0,1,6,0,0,1,12,5,10.7548935,106.6915083,939.7
19046.61,Đường Cộng Hòa,Phường 4 Quận Tân Bình,Quận Tân Bình,14,1,1,1,6,0,0,1,8.5,14,10.8009799,106.6578764,372.5
9419.24046,Đường Cách Mạng Tháng Tám,Phường 13 Quận 10,Quận 10,10,0,0,0,6,0,0,0,3,10,10.7779746,106.6813139,232.3
25329.3355,Đường Cống Lở,Phường 15 Quận Tân Bình,Quận Tân Bình,31,1,1,1,6,1,0,1,12,31,10.8268146,106.6369184,434.5
22516.1056,Đường Cầu Xéo,Phường Tân Quý Quận Tân Phú,Quận Tân Phú,26,1,0,1,6,0,0,1,14,26,10.798996,106.6238559,785
21120,Đường Gò Dầu,Phường Tân Quý Quận Tân Phú,Quận Tân Phú,10,1,0,1,6,0,0,1,12,10,10.7947853,106.6217612,431.6
23354.5,Đường Cao Thắng,Phường 12 Quận 10,Quận 10,10,0,0,0,6,1,0,0,8,10,10.7739309,106.6776993,147.7
41484.3408,Đường Điện Biên Phủ,Phường 11 Quận 10,Quận 10,9,0,0,0,6,0,1,1,15,10,10.7725609,106.6788057,491.8
12061.062,Đường Trường Chinh,Phường Tân Thới Nhất Quận 12,Quận 12,13,1,1,1,6,0,0,0,6,12,10.8305097,106.611896,497
15604.442,Đường Lê Đức Thọ,Phường 16 Quận Gò Vấp,Quận Gò Vấp,9,1,1,1,6,0,0,0,4.17,8,10.8474826,106.6689658,220.8
51190.60248,Đường Hoàng Hoa Thám,Phường 13 Quận Tân Bình,Quận Tân Bình,42,1,1,1,6,0,0,1,20,42,10.8012812,106.6419371,900.6
15001.14,Đường Nguyễn Văn Linh,Phường Tân Thuận Tây Quận 7,Quận 7,8,1,0,1,6,0,0,0,30,6,10.7525359,106.7265945,298.3
1108.8,Đường Lê Thánh Tôn,Phường Bến Thành Quận 1,Quận 1,1,1,0,1,6,0,0,0,15,2,10.771672,106.6953369,62.8
7044.21,Đường Âu Dương Lân,Phường 3 Quận 8,Quận 8,5,0,0,0,6,0,0,1,4,5,10.7453745,106.6822786,217.9
10030.527,Đường Hoàng Hoa Thám,Phường 5 Quận Bình Thạnh,Quận Bình Thạnh,10,0,0,0,6,0,0,0,3,14,10.8108065,106.6868872,106.3
35017.0128,Đường Lê Hồng Phong,Phường 12 Quận 10,Quận 10,15,0,0,0,6,0,0,0,30,14,10.775651,106.6704864,551.6
24499.2,Đường số 20,Phường Bình An Quận 2,Quận 2,14,0,0,1,6,0,0,1,12,14,10.79155283,106.7311048,159
1504,Đường Đào Tông Nguyên,Thị trấn Nhà Bè Huyện Nhà Bè,Huyện Nhà Bè,5,1,0,1,6,0,0,1,6,4,10.68377,106.7491203,4
22754.16,Đường Bờ Bao Tân Thắng,Phường Sơn Kỳ Quận Tân Phú,Quận Tân Phú,5,1,0,1,6,0,0,1,16,8,10.8000185,106.6158852,494.2
5881.2,Đường Bùi Văn Ba,Phường Tân Thuận Đông Quận 7,Quận 7,26,1,1,1,6,0,0,0,4.5,26,10.7503441,106.7326125,238
26502.4,Đường Phan Xích Long,Phường 7 Quận Phú Nhuận,Quận Phú Nhuận,10,0,0,0,6,0,0,0,40,10,10.7987225,106.6876331,327.9
26664,Đường Lê Hồng Phong,Phường 1 Quận 10,Quận 10,6,0,0,0,6,0,0,0,26,5,10.7641625,106.6757687,540
36299.52,Đường Lê Hồng Phong,Phường 1 Quận 10,Quận 10,7,0,0,0,6,0,0,0,30,10,10.7641625,106.6757687,350.6
5647.104,Đường Nguyễn Thiện Thuật,Phường 2 Quận 3,Quận 3,5,1,1,1,6,0,0,1,3.5,4,10.7676866,106.6802936,65.4
17690.4,Đường Nguyễn Tiểu La,Phường 5 Quận 10,Quận 10,6,1,1,1,6,0,0,0,10,6,10.764065,106.6662397,94.5
15569.6184,Đường Nguyễn Công Trứ,Phường 19 Quận Bình Thạnh,Quận Bình Thạnh,5,0,0,1,6,0,0,0,15,5,10.7910353,106.7090919,143.7
7042.51872,Đường Âu Dương Lân,Phường 2 Quận 8,Quận 8,13,0,0,0,6,0,0,0,3.79,13,10.7461861,106.6838342,302.8
14859.425,Đường Tân Phước,Phường 6 Quận 10,Quận 10,6,0,0,0,6,0,0,0,14,10,10.7614672,106.6622882,122.5
17637.9861,Đường Ba Tháng Hai,Phường 8 Quận 11,Quận 11,5,0,0,0,6,0,0,1,15,5,10.7604516,106.6469449,246.1
13601.224,Đường Lạc Long Quân,Phường 8 Quận Tân Bình,Quận Tân Bình,6,0,0,0,6,0,0,1,15,5,10.7751759,106.6483593,236.8
17816.5,Đường Trần Đình Xu,Phường Nguyễn Cư Trinh Quận 1,Quận 1,14,1,1,1,6,0,0,1,3,14,10.76241315,106.6866365,400
